Type,Food Name,Price,Flavor,veg/non-veg,Rating
Dessert,Gajar ka Halwa,120,Strong,Veg,4.5
Dessert,Rasmalai,140,Strong,Veg,4.2
Dessert,Rasgulla,80,Strong,Veg,4.6
Dessert,Sandesh,100,Medium,Non-Veg,4.5
Dessert,Chocolate and Mint Cheese Cake,250,Medium,Non-Veg,4
Dessert,Apple Pie,200,Medium,Veg,3
Dessert,Gulab Jamun,120,Medium,Veg,3.2
Dessert,Sundae,60,Medium,Veg,3
Dessert,Malai Ghewar,80,Medium,Veg,3.8
Dessert,Banana Spilt,50,Mild,Veg,4
Dessert,Kulfi,30,Mild,Veg,4.8
Dessert,Kheer,50,Mild,Veg,4.5
Dessert,Cheese Cake,100,Mild,Non-Veg,3.6
Dessert,Pudding,100,Mild,Non-Veg,3.1
Dessert,Motichur Laddu,60,Mild,Veg,4.5
Chaat,Aloo Chaat,90,Strong,Veg,3.5
Chaat,Aloo Tikki,25,Strong,Veg,3.7
Chaat,Panipuri,35,Strong,Veg,4
Chaat,Ragda Patties,30,Strong,Veg,4.6
Chaat,Sev Puri,40,Strong,Veg,2.9
Chaat,Dahi Bhalla,35,Strong,Veg,3
Chaat,Dahi Vada,25,Medium,Veg,2.8
Chaat,Vada Pav,30,Medium,Veg,3.5
Chaat,Papri Chaat,20,Medium,Veg,3.1
Chaat,Bhalla Papdi,30,Medium,Veg,4.1
Chaat,Dahi Puri,25,Medium,Veg,4.5
Chaat,Raj Kachori,50,Medium,Veg,3
Chaat,Jhal Muri,40,Mild,Veg,3.5
Chaat,Samosa Chaat,35,Mild,Veg,4
Chaat,Bhelpuri,20,Mild,Veg,3
Chaat,Tikki Chaat,25,Mild,Veg,4.5
Chaat,Fruit Chaat,60,Mild,Veg,4.6
Chaat,Dabeli,40,Mild,Veg,3.9
